date,region,product,sales_amount,customer_email,phone
2023-11-24,North,Widget A,1309.76,charlie.white@email.com,892-958-9935
2023-02-14,Central,Widget D,869.52,paul.miller@business.net,865-918-9928
2023-08-03,South,Widget D,1260.72,john.harris@corp.org,363-914-7924
2023-06-24,East,Widget B,487.0,alice.williams@outlook.com,299-567-6635
2023-11-06,East,Widget A,1369.96,blake.gonzalez@email.com,765-500-6925
2023-10-23,South,Widget A,998.17,henry.williams@corp.org,438-303-7227
2023-05-23,West,Widget C,570.47,tina.rodriguez@business.net,899-863-2169
2023-11-08,South,Widget E,943.97,kate.rodriguez@business.net,904-770-4598
2023-12-17,East,Widget A,1113.53,eve.robinson@company.com,935-522-4483
2023-12-02,West,Widget D,1469.56,charlie.rodriguez@gmail.com,452-962-9830
2023-05-15,Central,Widget D,1327.26,frank.jones@company.com,705-293-1771
2023-02-26,South,Widget B,1073.43,bob.gonzalez@outlook.com,810-679-9669
2023-05-09,Central,Widget A,1269.86,alex.moore@corp.org,473-987-6573
2023-02-27,East,Widget D,1371.84,olivia.harris@gmail.com,719-308-5889
2023-11-24,Central,Widget E,685.0,diana.moore@corp.org,743-200-6310
2023-09-08,North,Widget A,1364.33,jane.davis@company.com,280-287-8962
2023-02-05,Central,Widget B,657.01,paul.garcia@yahoo.com,740-821-7932
2023-04-19,Central,Widget B,1021.57,tina.lee@yahoo.com,648-729-8397
2023-03-03,South,Widget B,944.95,john.williams@business.net,846-260-4750
2023-02-04,North,Widget C,556.77,tina.thomas@gmail.com,752-335-8744
2023-05-05,West,Widget D,982.38,liam.lopez@outlook.com,620-678-1887
2023-12-11,North,Widget A,1149.43,zoe.brown@gmail.com,396-394-9786
2023-08-18,South,Widget D,897.91,zoe.robinson@email.com,653-763-2604
2023-01-26,Central,Widget A,1343.51,noah.thomas@gmail.com,610-260-3697
2023-07-14,North,Widget D,726.91,mia.martinez@outlook.com,913-948-8973
2023-03-21,South,Widget C,836.13,ivy.johnson@email.com,798-688-9238
2023-09-29,South,Widget A,933.82,tina.ramirez@gmail.com,613-322-5033
2023-10-24,Central,Widget A,1270.53,quinn.jackson@company.com,523-467-4346
2023-12-09,East,Widget B,807.47,sam.martinez@outlook.com,523-969-2188
2023-01-05,West,Widget E,663.92,grace.jones@yahoo.com,270-450-7054
2023-05-26,South,Widget D,1486.26,ruby.sanchez@business.net,741-208-5905
2023-12-06,North,Widget B,998.48,henry.martin@gmail.com,934-551-4335
2023-12-18,East,Widget E,808.43,zoe.johnson@email.com,849-633-5533
2023-01-23,North,Widget C,1006.34,grace.garcia@business.net,652-764-8007
2023-10-15,North,Widget A,1504.99,yara.lopez@company.com,765-351-8041
2023-03-07,North,Widget C,596.55,tina.brown@yahoo.com,998-773-7658
2023-11-14,South,Widget B,1045.42,xavier.thompson@email.com,591-239-8711
2023-04-24,South,Widget D,812.57,zoe.davis@gmail.com,224-875-4164
2023-07-24,East,Widget C,538.62,kate.perez@corp.org,749-539-1452
2023-03-01,East,Widget B,652.09,liam.martin@company.com,318-594-4114
2023-05-11,North,Widget D,1147.02,victor.white@business.net,401-572-8066
2023-02-05,East,Widget E,429.91,victor.lewis@yahoo.com,719-516-7691
2023-06-17,West,Widget C,773.1,tina.gonzalez@business.net,966-378-5930
2023-07-27,Central,Widget A,1114.8,xavier.jackson@company.com,870-529-8618
2023-08-15,West,Widget B,918.59,xavier.white@gmail.com,874-286-5649
2023-09-21,Central,Widget C,618.08,xavier.miller@gmail.com,225-247-5011
2023-09-01,Central,Widget A,1065.65,quinn.miller@business.net,913-593-9099
2023-07-24,South,Widget B,1274.45,alice.harris@outlook.com,424-380-9486
2023-08-26,North,Widget E,774.78,tina.taylor@company.com,809-524-8251
2023-11-10,Central,Widget D,1350.86,alex.garcia@business.net,686-660-5246
2023-05-07,East,Widget E,843.05,mia.williams@business.net,492-440-5451
2023-06-21,East,Widget E,802.63,eve.williams@outlook.com,617-538-9890
2023-08-27,West,Widget A,1026.53,alex.harris@company.com,912-220-7232
2023-09-02,North,Widget C,636.73,alex.clark@outlook.com,751-965-9947
2023-11-05,South,Widget D,929.36,john.gonzalez@yahoo.com,884-895-7624
2023-03-26,West,Widget B,1242.11,tina.smith@email.com,858-638-3223
2023-08-25,South,Widget A,1077.66,mia.hernandez@yahoo.com,979-588-5558
2023-08-04,East,Widget A,1159.41,jane.lopez@gmail.com,865-270-1659
2023-01-16,South,Widget B,1207.37,frank.jones@outlook.com,885-317-4571
2023-08-27,East,Widget C,459.78,victor.thompson@email.com,996-367-6096
2023-02-25,Central,Widget A,1546.89,blake.gonzalez@outlook.com,932-403-2245
2023-10-31,South,Widget A,1296.87,tina.martin@corp.org,323-779-1672
2023-06-27,Central,Widget D,1159.52,sam.hernandez@email.com,630-701-2729
2023-08-10,East,Widget D,1226.0,victor.taylor@business.net,476-830-9817
2023-09-05,West,Widget D,1374.24,ivy.ramirez@gmail.com,288-485-8385
2023-05-05,West,Widget E,910.96,john.thomas@corp.org,532-386-8988
2023-04-19,East,Widget C,292.27,uma.lewis@yahoo.com,769-210-9464
2023-04-08,North,Widget B,1047.64,wendy.davis@business.net,687-861-9041
2023-08-18,North,Widget A,1081.47,frank.martinez@business.net,795-577-8753
2023-10-11,Central,Widget C,649.4,ivy.lopez@business.net,664-477-6023
2023-05-09,South,Widget A,1310.93,victor.moore@corp.org,906-389-4138
2023-04-21,West,Widget C,761.79,alice.clark@gmail.com,503-432-6912
2023-04-02,East,Widget A,1281.72,jane.johnson@company.com,499-914-3068
2023-11-23,West,Widget A,1500.24,noah.thomas@outlook.com,548-388-1841
2023-05-10,West,Widget A,1384.42,bob.jackson@business.net,902-254-3485
2023-03-18,Central,Widget C,560.69,paul.harris@outlook.com,820-810-4697
2023-09-25,West,Widget D,1299.47,quinn.wilson@yahoo.com,782-835-1986
2023-11-09,North,Widget B,958.56,bob.garcia@gmail.com,377-765-2229
2023-03-22,North,Widget D,1058.19,henry.johnson@gmail.com,495-923-5632
2023-12-26,West,Widget A,1463.39,tina.sanchez@gmail.com,635-317-9922
2023-04-26,South,Widget C,584.45,victor.clark@company.com,495-649-3037
2023-08-28,East,Widget D,1404.06,noah.anderson@email.com,812-240-8078
2023-06-15,Central,Widget C,1178.75,quinn.smith@corp.org,888-475-1659
2023-03-31,West,Widget E,1469.39,diana.jackson@outlook.com,850-703-2494
2023-08-29,East,Widget D,926.62,zoe.garcia@yahoo.com,621-910-9117
2023-05-28,West,Widget E,753.91,wendy.gonzalez@corp.org,726-201-9889
2023-08-25,West,Widget A,1032.05,wendy.thomas@business.net,652-978-1845
2023-04-15,East,Widget E,672.18,alex.thompson@outlook.com,324-229-4920
2023-12-30,South,Widget C,788.96,bob.davis@corp.org,316-672-2924
2023-11-28,South,Widget D,1309.63,uma.rodriguez@outlook.com,694-683-4993
2023-08-22,Central,Widget B,388.78,olivia.white@gmail.com,271-482-7798
2023-06-24,Central,Widget C,903.36,henry.clark@company.com,793-875-9022
2023-03-18,West,Widget E,841.95,wendy.moore@outlook.com,666-529-4090
2023-12-24,South,Widget E,571.13,liam.johnson@yahoo.com,962-684-7246
2023-07-17,South,Widget D,1339.02,alice.ramirez@corp.org,650-302-9617
2023-08-22,North,Widget B,810.53,charlie.williams@outlook.com,471-546-7512
2023-11-29,North,Widget C,689.75,uma.lewis@corp.org,699-754-1588
2023-11-13,North,Widget B,1469.14,frank.white@email.com,644-300-2646
2023-08-16,South,Widget C,893.79,jack.wilson@gmail.com,450-743-7751
2023-10-17,South,Widget B,614.51,kate.martin@business.net,446-709-3344
2023-04-29,West,Widget C,708.36,alex.sanchez@outlook.com,494-893-9955
2023-03-22,North,Widget D,1220.22,henry.miller@outlook.com,694-309-4886
2023-07-15,Central,Widget C,824.83,quinn.ramirez@business.net,996-962-1803
2023-11-07,West,Widget C,872.89,xavier.lopez@gmail.com,851-394-5106
2023-12-14,South,Widget A,1591.37,henry.sanchez@outlook.com,234-793-6977
2023-03-09,North,Widget C,648.28,eve.jones@corp.org,752-574-9697
2023-09-14,East,Widget B,424.36,noah.sanchez@yahoo.com,964-546-2886
2023-08-28,North,Widget B,1012.61,tina.white@business.net,606-770-6992
2023-02-16,West,Widget A,1107.79,jack.perez@business.net,888-468-7242
2023-11-23,East,Widget A,1313.5,ruby.lewis@company.com,535-824-4626
2023-11-28,North,Widget D,1301.29,liam.brown@gmail.com,246-238-5986
2023-09-10,North,Widget A,1003.24,kate.anderson@yahoo.com,886-960-9850
2023-08-03,Central,Widget B,1283.21,yara.thomas@company.com,617-486-1536
2023-12-20,East,Widget B,507.13,zoe.lopez@email.com,902-576-9920
2023-11-27,East,Widget A,1156.86,alice.ramirez@corp.org,665-293-4475
2023-11-25,Central,Widget A,968.64,charlie.sanchez@company.com,410-270-4394
2023-10-28,South,Widget B,831.0,alex.martin@email.com,483-348-3129
2023-10-04,East,Widget B,703.15,xavier.davis@company.com,531-216-3854
2023-05-16,North,Widget B,1075.0,victor.williams@outlook.com,659-996-6931
2023-09-20,Central,Widget A,1178.85,ruby.johnson@business.net,874-733-5941
2023-08-23,North,Widget A,1171.64,uma.robinson@outlook.com,275-282-6277
2023-11-08,South,Widget A,858.61,quinn.moore@business.net,532-590-9692
2023-05-31,West,Widget E,890.16,uma.brown@corp.org,870-866-4522
2023-08-09,West,Widget B,728.65,kate.wilson@business.net,297-520-7992
2023-06-10,East,Widget C,740.28,bob.williams@outlook.com,298-962-7105
2023-03-08,Central,Widget A,1267.67,ivy.perez@email.com,620-562-7929
2023-01-27,East,Widget E,778.21,olivia.miller@gmail.com,872-693-4674
2023-02-25,East,Widget E,658.59,quinn.davis@corp.org,639-774-1430
2023-11-08,East,Widget A,831.18,henry.robinson@yahoo.com,559-206-3972
2023-03-15,Central,Widget D,1116.77,mia.hernandez@gmail.com,578-519-6314
2023-10-18,Central,Widget A,1355.76,wendy.martin@email.com,890-283-5458
2023-08-15,West,Widget D,1162.71,eve.harris@company.com,316-553-8043
2023-02-26,East,Widget E,836.22,jane.davis@outlook.com,813-256-1125
2023-04-15,East,Widget B,1288.95,henry.hernandez@email.com,207-709-8055
2023-03-31,South,Widget D,1114.52,paul.clark@business.net,562-273-7505
2023-01-22,West,Widget A,1185.03,ivy.jackson@outlook.com,787-614-7843
2023-05-29,North,Widget D,856.53,xavier.martin@outlook.com,906-570-2443
2023-08-12,North,Widget B,863.19,bob.gonzalez@corp.org,517-963-6562
2023-04-24,East,Widget B,503.72,olivia.taylor@gmail.com,994-557-6752
2023-11-27,South,Widget B,716.84,diana.martin@gmail.com,978-977-2234
2023-04-01,West,Widget D,1463.57,mia.perez@company.com,858-850-6295
2023-11-18,East,Widget B,861.08,sam.martinez@corp.org,481-805-1920
2023-06-30,Central,Widget A,1081.31,jane.lopez@corp.org,493-278-2479
2023-11-11,Central,Widget E,755.56,xavier.white@email.com,660-785-4084
2023-06-14,Central,Widget D,1111.1,mia.brown@corp.org,551-931-2381
2023-09-16,South,Widget A,1046.06,mia.taylor@company.com,824-362-6962
2023-07-10,East,Widget D,1052.69,ruby.johnson@corp.org,846-862-6482
2023-02-03,East,Widget A,1232.42,grace.white@corp.org,872-817-3463
2023-06-20,North,Widget E,660.7,tina.gonzalez@gmail.com,809-925-2388
2023-06-08,Central,Widget D,1173.32,charlie.perez@business.net,956-901-9624
